AMMB Holdings Berhad,5819.KL
Axiata Group Berhad,6888.KL
CIMB Group Holdings Berhad,1023.KL
Dialog Group Bhd,7277.KL
CelcomDigi Bhd,6947.KL
Genting Bhd,3182.KL
Genting Malaysia Berhad,4715.KL
Hap Seng Consolidated Bhd,3034.KL
Hartalega Holdings Bhd,5168.KL
Hong Leong Bank Bhd,5819.KL
Hong Leong Financial Group Bhd,1082.KL
IHH Healthcare Berhad,5225.KL
IOI Corporation Bhd,1961.KL
Kuala Lumpur Kepong Bhd,2445.KL
Maxis Berhad,6012.KL
Malayan Banking Bhd,1155.KL
MISC Bhd,3816.KL
MR D.I.Y. Group(M) Berhad,5296.KL
Nestle(M) Bhd,4707.KL
Public Bank Bhd,1295.KL
Petronas Chemicals Group Bhd,5183.KL
Petronas Dagangan Bhd,5681.KL
Petronas Gas Bhd,6033.KL
Press Metal Aluminium Holdings Berhad,8869.KL
PPB Group Bhd,4065.KL
QL Resources Bhd,7084.KL
RHB Bank Bhd,1066.KL
Sime Darby Bhd,4197.KL
Sime Darby Plantation Berhad,5285.KL
Tenaga Nasional Bhd,5347.KL
Telekom Malaysia Bhd,4863.KL
YTL Corporation Bhd,4677.KL
YTL Power International Bhd,6742.KL
Top Glove Corporation Bhd,7113.KL
Aeon Credit Service(M) Bhd,5139.KL
Airasia Group Berhad,5099.KL
Alliance Bank Malaysia Berhad,2488.KL
AMMB Holdings Bhd,1015.KL
Astro Malaysia Holdings Berhad,6399.KL
Ata IMS Berhad,8176.KL
Axis REITS,5106.KL
Berjaya Sports Toto Bhd,1562.KL
Bermaz Auto Berhad,5248.KL
British American Tobacco(M),4162.KL
Bumi Armada Berhad,5210.KL
Bursa Malaysia Bhd,1818.KL
Cahya Mata Sarawak Bhd,2852.KL
Carlsberg Brewery Malaysia Bhd,2836.KL
D & O Green Technologies Berhad,7204.KL
Drb-Hicom Bhd,1619.KL
Duopharma Biotech Berhad,7148.KL
FGV Holdings Berhad,5222.KL
Fraser & Neave Holdings Bhd,3689.KL
Frontken Corporation Bhd,0128.KL
Gamuda Bhd,5398.KL
Gdex Berhad,0078.KL
Genting Plantations Berhad,2291.KL
Greatech Technology Berhad,0208.KL
Guan Chong Bhd,5102.KL
Heineken Malaysia Berhad,3255.KL
Hong Leong Industries Bhd,3301.KL
Igb Real Estate Inv Trust,5227.KL
Ijm Corporation Bhd,3336.KL
Inari Amertron Berhad,0166.KL
Kossan Rubber Industries Bhd,7153.KL
Kpj Healthcare Bhd,5878.KL
Leong Hup International Berhad,6633.KL
Lotte Chemical Titan Holding Berhad,5284.KL
Magnum Berhad,3859.KL
Malakoff Corporation Berhad,5264.KL
Malaysia Airports Holdings Bhd,5014.KL
Malaysia Building Society Bhd,1171.KL
Malaysian Pacific Industries,3867.KL
Malaysian Resources Corporation Berhad,1651.KL
Matrix Concepts Holdings Bhd,5236.KL
Mega First Corporation Bhd,3069.KL
Mi Technovation Berhad,5286.KL
Lay Hong Berhad,9385.KL
My E.G. Services Bhd,0138.KL
Bank Islam Malaysia,5258.KL
Pentamaster Corporation Bhd,7160.KL
Ql Resources Bhd,7084.KL
Sapura Energy Berhad,5218.KL
Scientex Berhad,4731.KL
Serba Dinamik Holdings Berhad,5279.KL
Sime Darby Property Berhad,5288.KL
Skp Resources Bhd,7155.KL
Sp Setia Bhd,8664.KL
Sunway Berhad,5211.KL
Sunway Real Estate Invt Trust,5176.KL
Supermax Corporation Bhd,7106.KL
Syarikat Takaful Malaysia Keluarga Berhad,6139.KL
Time Dotcom Bhd,5031.KL
Uem Sunrise Berhad,5148.KL
Umw Holdings Bhd,4588.KL
Unisem(M) Bhd,5005.KL
Uwc Berhad,5292.KL
V.S Industry Bhd,6963.KL
Vitrox Corporation Bhd,0097.KL
Westports Holdings Berhad,5246.KL
Yinson Holdings Bhd,7293.KL
Ytl Corporation Bhd,4677.KL
Ytl Hospitality Reit,5109.KL
Ytl Power International Bhd,6742.KL
